Nom,Présentation,Statut juridique,Domaine(s),Région(s),Numéro SIREN,Fiche URSCOP,Adresse,Adhérent CoopTech,Notes,latitude,longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode
Dalibo,Prestations de services informatiques.,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/dalibo?page=8,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Datakit,"Programmation, informatique, fabrication et vente de logiciels d'échange de données.",SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/datakit,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Deltacad,"Réalisation et commercialisation de produits informatiques techniques.Développement de logiciel spécifique en CAO, calcul, gestion de données...",SCOP,,Hauts-de-France (FR),,https://www.les-scop.coop/deltacad?federation=federations/3/&field_code_naf=&page=7,,,,49.595095,3.374697,Rue de la 1ere Div Fr Libre,Rue de la 1ere Div Fr Libre 02410 Saint-Gobain,Saint-Gobain,
Devcoop,Prestation de sercices en ingénierie informatique.,SCOP,,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/devcoop?field_code_naf_target_id=&page=4,,,,44.766256,-1.1208,Allee d’Aquitaine,Allee d’Aquitaine 33740 Arès,Arès,
Diademe Ingénierie,Programmation informatique (6201Z),SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/diademe-ingenierie?federation=federations/3/&field_code_naf=&page=7,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Digicoop,"Conception, réalisation et commercialisation de produits et services numériques innovants.",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/digicoop?field_code_naf=&field_depart=1456&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Digitanie,"Réalisation de logiciels, communication numérique, site internet, conseil en génie logiciel. Design et P.A.O",SCOP,,Occitanie (FR),,https://www.les-scop.coop/digitanie?field_code_naf_target_id=&page=4,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Dixquinze,"Impression images, photos, supports",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/dixquinze?page=7,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Débutant-E Accepté-E,Développement informatique,SCOP,,Bourgogne-Franche-Comté (FR),,https://www.les-scop.coop/debutant-e-accepte-e?page=13,,,,47.354623,4.213673,Rue des Creux de la Terre - Fr,Rue des Creux de la Terre - Fr 21210 Lacour-d'Arcenay,Lacour-d'Arcenay,
E-Cosi,"Conseil en systemes et logiciels informatiques, services numeriques.",SCOP,,Pays de la Loire (FR),,https://www.les-scop.coop/e-cosi?field_code_naf=&field_depart=All&field_secteur_activite_structure=1879&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,47.276991,-2.213173,Rue de la Paix et des Arts,Rue de la Paix et des Arts 44600 Saint-Nazaire,Saint-Nazaire,
E-Learning Touch',"Ingenierie pédagogique, conception d'outils multimédia, prestations de services dans le domaine de l'Internet, formation des acteurs aux usages de l...",SCOP,,Bretagne (FR),,https://www.les-scop.coop/e-learning-touch,,,,47.678914,-2.759753,Place Fred Regnier,Place Fred Regnier 56000 Vannes,Vannes,
Emerix,"Dépannage, vente, installation, maintenance de système informatique et réseaux.",SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/emerix,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
Empreinte Digitale,Solutions numériques responsables /digital,SCOP,,Pays de la Loire (FR),,https://www.les-scop.coop/empreinte-digitale,,,,47.276991,-2.213173,Rue de la Paix et des Arts,Rue de la Paix et des Arts 44600 Saint-Nazaire,Saint-Nazaire,
Enovalp,Conseil en sytèmes et services informatiques.,SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/enovalp?field_code_naf=&field_depart=1383&field_secteur_activite_structure=1868&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Entr'Ouvert,Conseil programation informatique,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/entr-ouvert?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Espri Digital,"Création, fabrication, commercialisation et vente de produits, services et prestations de conseil liés à l'informatisation et l'automatisation.",SCOP,,Normandie (FR),,https://www.les-scop.coop/espri-digital?federation=federations/3/&field_code_naf=&page=39,,,,49.178457,-0.368442,Rue Fred Scamaroni,Rue Fred Scamaroni 14000 Caen,Caen,
Etyssa,Création et gestion de plateforme de mise en relation des habitants pour les collectivités locales.,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/etyssa,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Exantis Informatique,"Equipement pour le traitement de l'information pour les ordinateurs et leurs périphériques, service d'installation et de maintenance informatique.",SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/exantis-informatique?field_code_naf_target_id=&page=23,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
